bus_name,gen_name,point,fuel,capacity
GLEN ROSE 1 2,COMANCHE_PEAK_U1,POINT (-97.772915 32.28238785536839),ST,1458.0
WHARTON 1 4,COLORADO_BEND_ENERGY_CENTER_2_CC1,POINT (-96.0557 29.2713145918019),CT,176.0
WICHITA FALLS 2 2,WICHITA_FALLS_COGEN_CC8,POINT (-98.5858 33.84680442965061),CT,60.0
DEER PARK 3,SHELL_U1,POINT (-95.12381600000002 29.717870061833906),GT,180.0
SILVER 4,MORGAN_CREEK_CTG_1,POINT (-100.67910000000002 32.03092734319301),GT,536.0
MT. ENTERPRISE 5,TENASKA_GATEWAY_STATION_CC3,POINT (-94.607143 32.001799606618185),CC,84000.0
HOUSTON 6 0,GREENS_BAYOU_GT2,POINT (-95.215109 29.819702359047994),GT,70.0
AUSTIN 2 5,SANDHILL_ENERGY_CENTER_GT,POINT (-97.60786 30.202021993886394),GT,58.0
FREEPORT 2 0,DOWGEN_UNIT11,POINT (-95.396681 28.98499101570269),GT,14.0
ARLINGTON 1 4,HANDLEY_STG_U3,POINT (-97.13705 32.76510371156449),ST,474.0
THOMPSONS 10,WA_PARISH_STG_U8,POINT (-95.62606 29.468696862513887),ST,744.0
BASTROP 7,SAM_GIDEON_STG_U3,POINT (-97.2582 30.11991352296321),ST,396.0
GREGORY 7,INGLESIDE_CC6,POINT (-97.245817 27.8598536925239),CC,540.0
POINT COMFORT 2 6,FORMOSA_GT4,POINT (-96.5291 28.66564345185492),GT,138.0
ELMENDORF 6,ARTHUR_VON_ROSENBERG_CC1,POINT (-98.37746 29.24507845423008),CT,295.0
LAPORTE 4,SR_BERTRON_GT1,POINT (-95.05478700000002 29.720209682102507),GT,248.0
CHANNELVIEW 1 8,POWER_SYSTEMS_ARCO_COGEN3_CC1,POINT (-95.10269000000001 29.804542556854592),CT,592.0
MOUNT PLEASANT 1 5,MONTICELLO_U3,POINT (-95.02910000000001 33.072847528477894),ST,69600.0
LAPORTE 9,EXTEX_LAPORTE_GEN_STN_CTG1,POINT (-95.05478700000002 29.713956599098008),GT,54.0
SEGUIN 1 4,RIO_NOGALES_POWER_CC2,POINT (-97.968175 29.585229703398298),CT,636.0
CORPUS CHRISTI 1 5,NUECES_BAY_REPOWER_CC2,POINT (-97.45170000000002 27.79718227221871),CC,816.0
ALVIN 0,AMOCO_UNIT10,POINT (-95.18288 29.422491490378206),CC,207.0
PEARSALL 3,PEARSALL_ST3,POINT (-99.07930000000002 28.907805399443088),ST,40.0
ELMENDORF 4,VH_BRAUNIG_TTG_U2,POINT (-98.37746 29.247591332742893),GT,59.0
