bus_name,gen_name,point,fuel,capacity
POINT COMFORT 2 8,gen-374,POINT (-96.5291 28.65932573690569),GT,137.88
GLEN ROSE 1 3,gen-213,POINT (-97.772915 32.279344270529684),ST,1458.0
BREMOND 0,gen-542,POINT (-96.68423 31.085759152857804),ST,209.52
CHANNELVIEW 1 10,gen-472,POINT (-95.10269000000001 29.802043474614997),GT,220.39
BRYAN 1 0,gen-543,POINT (-96.45 30.71551025762),GT,126.0
DEER PARK 9,DEER_PARK_ENERGY_CENTER_CC4,POINT (-95.12381600000002 29.710366140597316),CC,1016.0
BROWNSVILLE 1 0,SILAS_RAY_ST2,POINT (-97.51060000000001 25.906623725411485),ST,320.0
THOMPSONS 8,WA_PARISH_STG_U6,POINT (-95.62606 29.471204230354388),ST,814.0
CHANNELVIEW 1 9,POWER_SYSTEMS_ARCO_COGEN3_CC2,POINT (-95.10269000000001 29.8032930235391),CC,664.0
LAPORTE 10,EXTEX_LAPORTE_GEN_STN_CTG2,POINT (-95.05478700000002 29.712705935755206),GT,54.0
BROWNSVILLE 1 0,MAGIC_VALLEY_STATION_CC1,POINT (-97.51060000000001 25.906623725411485),CT,461.0
LAPORTE 8,SR_BERTRON_ST1,POINT (-95.05478700000002 29.7152072468607),ST,457.0
PASADENA 3 3,TEXAS_CITY_POWER_CC9,POINT (-95.04076 29.617179738104713),CC,524.0
SEGUIN 1 6,RIO_NOGALES_POWER_CC4,POINT (-97.968175 29.582725160287595),CC,960.0
FREEPORT 2 0,DOWGEN_UNIT5,POINT (-95.396681 28.98499101570269),GT,121.0
FREEPORT 2 0,DOWGEN_UNIT7,POINT (-95.396681 28.98499101570269),GT,121.0
PARIS 1 7,LAMAR_ENERGY_CENTER2_CC4,POINT (-95.57739999999998 33.600070709169),CC,702.0
SAN ANTONIO 2 9,LEON_CREEK_PEAKER_CTG_4,POINT (-98.60886 29.57481164891341),GT,59.0
GREGORY 4,INGLESIDE_CC3,POINT (-97.245817 27.869401479434597),CT,218.0
PALO PINTO 1 2,RW_MILLER_STG_U1,POINT (-98.29770000000002 32.639155116415594),ST,90.0
DEER PARK 10,DEER_PARK_ENERGY_CENTER_CC5,POINT (-95.12381600000002 29.709115432529103),CC,720.0
CHANNELVIEW 1 11,CHANNELVIEW_COGENERATION_PLANT_CC2,POINT (-95.10269000000001 29.8007939100825),CT,660.0
PASADENA 2 5,CHANNEL_ENERGY_CENTER2_CC1,POINT (-95.171439 29.715683312702804),CT,323.0
FREEPORT 1 6,FREEPORT_LNG_GT4,POINT (-95.3294 28.960515415952585),GT,149.0
TRINIDAD 1 0,TRINIDAD_ST1,POINT (-96.090477 32.1184211563178),ST,29400.0
SAN ANTONIO 2 7,LEON_CREEK_PEAKER_CTG_2,POINT (-98.60886 29.577316388379508),GT,55.0
AUSTIN 1 0,DECKER_CREEK_GT1,POINT (-97.838266 30.394866861665406),GT,73.0
DENTON 1 2,SPENCER_STG_U4,POINT (-97.10106 33.18996858231391),ST,68.0
LA GRANGE 3,FAYETTE_POWER_U1_J2,POINT (-96.738 29.900817133061903),ST,356.0
NURSERY 3,SAM_RAYBURN_GT1,POINT (-97.1224 28.874999173673),GT,13.0
MT. ENTERPRISE 4,TENASKA_GATEWAY_STATION_CC2,POINT (-94.607143 32.00485246901549),CT,73200.0
MISSION 1 3,HIDALGO_ENERGY_CENTER_CC2,POINT (-98.3866 26.14903925832189),CT,355.0
CEDAR CREEK 1 5,BASTROP_ENERGY_CENTER_CC3,POINT (-97.54496000000002 30.136771594285992),CC,687.0
SHIRO 5,TENASKA_FRONTIER_STATION_CC9,POINT (-95.90519999999998 30.57302985014232),CC,68879.0
ODESSA 1 1,ODESSA_ECTOR_POWER1_CC2,POINT (-102.31380000000001 31.808947319834704),CT,323.0
VICTORIA 2 4,VICTORIA_POWER2_CC1,POINT (-96.99740000000001 28.77173462930361),CC,364.0
CORPUS CHRISTI 1 4,NUECES_BAY_REPOWER_CC1,POINT (-97.45170000000002 27.800366799638997),CT,420.0
LAPORTE 12,EXTEX_LAPORTE_GEN_STN_CTG4,POINT (-95.05478700000002 29.71020456233079),GT,54.0
SAN ANTONIO 1 5,OW_SOMMERS_STG_U2,POINT (-98.33826000000002 29.419806707025803),ST,492.0
PARIS 2 2,PARIS_ENERGY_CENTER_CC1,POINT (-95.54510000000002 33.684069684954984),CT,156.0
FREEPORT 2 0,DOWGEN_UNIT3,POINT (-95.396681 28.98499101570269),GT,156.0
PALO PINTO 1 6,RW_MILLER_STG_U5,POINT (-98.29770000000002 32.6270282848396),ST,144.0
NEWGULF 2,TEXAS_GULF_SULPHUR,POINT (-95.88710000000002 29.250551754073413),GT,109.0
CHANNELVIEW 1 6,POWER_SYSTEMS_ARCO_COGEN2_CC1,POINT (-95.10269000000001 29.807041576657696),CT,592.0
DALLAS 2 3,MOUNTAIN_CREEK_STG_U7,POINT (-96.93076 32.714316469530594),ST,142.0
HOUSTON 5 4,TH_WARTON1_CC3,POINT (-95.52556 29.9339008908281),CT,166.0
HOUSTON 4 10,FRIENDSWOOD_GT3,POINT (-95.39032 29.7069781330027),GT,145.0
FREEPORT 2 0,DOWGEN_UNIT2,POINT (-95.396681 28.98499101570269),GT,156.0
LA PORTE 0,SAN_JACINTO_SES_GT2,POINT (-95.037022 29.69233618154429),GT,109.0
ELMENDORF 7,ARTHUR_VON_ROSENBERG_CC2,POINT (-98.37746 29.243821991832494),CC,618.0
MCKINNEY 1 7,PANDA_TEMPLE_II_CC1,POINT (-96.59662600000001 33.15458782738859),CT,469.0
GRANBURY 1 4,WOLF_HOLLOW_2_CC2,POINT (-97.719086 32.32129145601041),CC,1398.0
HOUSTON 4 11,FRIENDSWOOD_GT4,POINT (-95.39032 29.705727382735684),GT,145.0
AUSTIN 2 6,SANDHILL_ENERGY_CENTER_CC3,POINT (-97.60786 30.200777455867705),CC,384.0
WICHITA FALLS 2 3,WICHITA_FALLS_COGEN_CC9,POINT (-98.5858 33.843814470202105),CC,90.0
SHIRO 3,TENASKA_FRONTIER_STATION_CC1,POINT (-95.90519999999998 30.579228719156287),CT,29999.0
FANNIN 2,COLETO_CREEK,POINT (-97.192567 28.697012109351192),ST,786.0
MCKINNEY 1 3,RAY_OLINGER_STG_U1,POINT (-96.59662600000001 33.15940995555839),ST,130.0
MIDLOTHIAN 1 0,MIDLOTHIAN_ENERGY_FACILITY_GT1,POINT (-97.04938 32.42776911654429),GT,318.0
HOUSTON 5 10,TH_WARTON2_CC7,POINT (-95.52556 29.926413170872888),CC,348.0
CORPUS CHRISTI 3 2,B_M_DAVIS_STG_U1,POINT (-97.29909999999998 27.567313737588698),ST,396.0
THOMPSONS 4,WA_PARISH_STG_U2,POINT (-95.62606 29.476218780013504),ST,203.0
FRANKLIN 5,OAK_GROVE_SES_U1,POINT (-96.47400000000002 31.167209297682206),ST,102600.0
SNYDER 2 0,SNYDER_CREEK_CTG_3,POINT (-100.93666100000002 32.7410021133028),GT,102.0
BAYTOWN 2 6,BAYTOWN_ENERGY2_CC2,POINT (-94.89686 29.764037683803394),CC,606.0
POOLVILLE 4,WISE_TRACTEBEL_POWER_CC3,POINT (-97.89770000000001 33.03340443749472),CC,972.0
CORPUS CHRISTI 3 5,BARNEY_DAVIS_CC3,POINT (-97.29909999999998 27.557739468474),CC,816.0
HOUSTON 4 9,FRIENDSWOOD_GT2,POINT (-95.39032 29.7082288676919),GT,145.0
GRAHAM 2,GRAHAM_STG_U1,POINT (-98.59910000000002 33.1215869874652),ST,28080.0
GREGORY 2,INGLESIDE_CC1,POINT (-97.245817 27.875766203357006),CT,218.0
FREEPORT 1 4,FREEPORT_LNG_GT2,POINT (-95.3294 28.966814890199387),GT,149.0
SANTA ROSA 1 7,CAPITOL_GEN_CC1,POINT (-97.86341200000001 26.233360130580113),CT,60.0
LAPORTE 11,EXTEX_LAPORTE_GEN_STN_CTG3,POINT (-95.05478700000002 29.711455256832604),GT,53.0
HOUSTON 4 8,FRIENDSWOOD_GT1,POINT (-95.39032 29.709479586802807),GT,145.0
SAVOY 3,SAVOY_STATION_ST2,POINT (-96.355005 33.612404490515004),ST,470.0
FAIRFIELD 1 4,FREESTONE_ENERGY_CENTER1_CC2,POINT (-96.1005 31.8746514160553),CC,31439.0
DALLAS 1 6,FORNEY_ENERGY_CENTER1_CC3,POINT (-96.63940400000001 32.63739492348349),CC,1195.0
ROCKDALE 1 4,SANDOW_U5,POINT (-97.05143200000002 30.543395120510592),ST,740.0
HOUSTON 6 0,GREENS_BAYOU_CC3,POINT (-95.215109 29.819702359047994),CC,295.0
GLEN ROSE 1 3,COMANCHE_PEAK_U2,POINT (-97.772915 32.279344270529684),ST,1458.0
ODESSA 1 2,ODESSA_ECTOR_POWER1_CC4,POINT (-102.31380000000001 31.80588795176119),CC,648.0
BAYTOWN 1 8,CEDAR_BAYOU_CC4,POINT (-94.90886 29.661574914958692),CC,732.0
BISHOP 1,KINGSVILLE_GT1,POINT (-97.8192 27.5497530973616),GT,53.0
PEARSALL 6,PEARSALL_ST6,POINT (-99.07930000000002 28.898350662980615),ST,81.0
MCKINNEY 1 5,RAY_OLINGER_STG_U3,POINT (-96.59662600000001 33.1569989246159),ST,172.0
SEGUIN 1 3,RIO_NOGALES_POWER_CC1,POINT (-97.968175 29.586481951645997),CT,312.0
LAPORTE 5,SR_BERTRON_GT2,POINT (-95.05478700000002 29.718959096664193),GT,248.0
SANTA ROSA 1 9,CAPITOL_GEN_CC3,POINT (-97.86341200000001 26.226901542913584),CC,260.0
MARION 1 8,GUADALUPE_ENERGY_CENTER2_CC4,POINT (-98.13686 29.61156854391941),CC,672.0
WICHITA FALLS 1 3,WICHITA_STATION_ST1,POINT (-98.48050000000002 33.897613771944),ST,864.0
DALLAS 1 4,FORNEY_ENERGY_CENTER1_CC1,POINT (-96.63940400000001 32.6398201402831),CT,780.0
ARLINGTON 1 6,HANDLEY_STG_U5,POINT (-97.13705 32.7626818970566),ST,522.0
MOUNT PLEASANT 1 4,MONTICELLO_U2,POINT (-95.02910000000001 33.075864195472015),ST,69600.0
SHERMAN 1 3,PANDA_SHERMAN_CC2,POINT (-96.60529300000002 33.56682617169601),CT,463.0
CHANNELVIEW 1 7,POWER_SYSTEMS_ARCO_COGEN2_CC2,POINT (-95.10269000000001 29.8057920745609),CC,664.0
SHIRO 4,TENASKA_FRONTIER_STATION_CC4,POINT (-95.90519999999998 30.576129334180592),CT,36611.0
POINT COMFORT 1 0,CALHOUN_PORT_COMFORT_CTG2,POINT (-96.549197 28.633752374787612),GT,59.0
WILLIS 1 0,LAKE_HUBBARD_ST,POINT (-95.51059999999998 30.429391969007707),ST,63240.0
BAYTOWN 2 4,BAYTOWN_ENERGY1_CC2,POINT (-94.89686 29.766537714985414),CC,240.0
CORPUS CHRISTI 3 4,BARNEY_DAVIS_CC2,POINT (-97.29909999999998 27.560930984296302),CT,420.0
ODESSA 1 4,QUAIL_RUN_ENERGY1_CC1,POINT (-102.31380000000001 31.799768911680815),CC,157.0
CEDAR CREEK 1 4,BASTROP_ENERGY_CENTER_CC2,POINT (-97.54496000000002 30.138016940736197),CT,480.0
AUSTIN 1 0,DECKER_CREEK_ST1,POINT (-97.838266 30.394866861665406),ST,390.0
DALLAS 1 5,FORNEY_ENERGY_CENTER1_CC2,POINT (-96.63940400000001 32.6386075401017),CT,780.0
